id;ru;en
FIRST_CUT_SCENE_TEXT_1;Гобби...;Gobby...
FIRST_CUT_SCENE_TEXT_2;Кто пришел в дом, Гобби?;Who came to the house, Gobby?
FIRST_CUT_SCENE_TEXT_3;ты... человек!?;You will... Man!?
FIRST_CUT_SCENE_TEXT_4;ДДдавно я их не видел!;I haven't seen them yet!
FIRST_CUT_SCENE_TEXT_5;У тебя железяка!?;You've got a piece of iron!?
FIRST_CUT_SCENE_TEXT_6;Злой человек!!!;Angry man!!!
FIRST_CUT_SCENE_TEXT_7;Ну чтож, ловушки Гобби ждут тебя!;Well, gobby traps are waiting for you!
FIRST_CUT_SCENE_TEXT_8;Догони Гобби! Гха Гха Гха;Catch Up With Gobbi! GHA GHA GHA
SECOND_CUT_SCENE_TEXT_1;О... я смотрю ты добрался до Гобби!;Oh... I see you got to Gobby!
SECOND_CUT_SCENE_TEXT_2;Что ты тут ищешь, человек?;What are you looking for, man?
SECOND_CUT_SCENE_TEXT_3;Я ищу магический фолиант, слышал о таком?;I'm looking for a magic Tome, have you heard of it?
SECOND_CUT_SCENE_TEXT_4;Магический фолиант, говоришь... Да, Гобби слыхал о нем!;Magic Tome, you say... Yes, Gobby had heard of him!
SECOND_CUT_SCENE_TEXT_5;Говори, что ты знаешь!;Tell me what you know!
SECOND_CUT_SCENE_TEXT_6;ГХА ГХА ГЖА... человек, ты смешной!;GHA GHA GHA... man, you're funny!
SECOND_CUT_SCENE_TEXT_7;Гобби ничего тебе не скажет!;Gobby won't tell you anything!
SECOND_CUT_SCENE_TEXT_8;Гобби убьет человека!;Gobby will kill a man!
3_CUT_SCENE_TEXT_1;Стой... человек... не убивай Гобби;Stand... human... don't kill Gobby!
3_CUT_SCENE_TEXT_2;Почему же?!;Why not?!
3_CUT_SCENE_TEXT_3;Я помогу тебе...;I'll help you...
3_CUT_SCENE_TEXT_4;Я знаю где найти твой Фолиант;I know where to find your Tome
3_CUT_SCENE_TEXT_5;Он находится намного глубже жилища Гобби;It is much deeper than Gobby's dwelling
3_CUT_SCENE_TEXT_6;Мы замуровали тоннель \n чтоб от туда не лезла всякая нечисть.;We walled up the tunnel \n so that from there did not climb any evil spirits.
3_CUT_SCENE_TEXT_7;Я прикажу своим слугам чтоб они убрали стену;I will order my servants to remove the wall
3_CUT_SCENE_TEXT_8;Хорошо... но помни Гобби, что я сделал для тебя!;Well... but remember, Gobby, what I have done for you!
3_CUT_SCENE_TEXT_9;Гобби запомнит, человек хороший...;Gobby will remember, a good man...
